id,relevance
1,2.1908926963806152
4,2.1021194458007812
5,2.158329486846924
6,2.2505927085876465
7,1.933058500289917
8,2.069087266921997
10,2.6656100749969482
11,2.6642775535583496
12,1.9799917936325073
13,2.7187514305114746
14,2.8104991912841797
15,2.409727096557617
19,2.4561386108398438
22,2.754321336746216
24,2.59563946723938
25,2.278193473815918
26,2.0885257720947266
28,2.5646770000457764
29,2.069087266921997
30,1.9264991283416748
31,2.677015781402588
32,2.4886088371276855
33,2.2269632816314697
36,2.2867894172668457
39,2.159414768218994
40,2.644705057144165
41,1.971250057220459
42,2.4561386108398438
43,2.737828016281128
44,2.3038687705993652
45,2.5626938343048096
46,2.58158540725708
47,2.3175721168518066
49,2.754321336746216
50,2.5646770000457764
52,2.4561386108398438
53,2.2867894172668457
54,2.309764862060547
55,2.6163063049316406
56,2.7187514305114746
57,2.095071315765381
58,2.7425100803375244
59,2.7187514305114746
60,1.8735426664352417
61,2.4886088371276855
62,2.4561386108398438
63,2.5899646282196045
64,2.677015781402588
66,2.6645889282226562
67,2.278193473815918
68,2.0777792930603027
70,2.069087266921997
71,2.4561386108398438
72,1.971250057220459
73,1.9604723453521729
74,2.0885257720947266
76,2.0777792930603027
77,2.0885257720947266
78,2.246227979660034
79,1.971250057220459
80,2.0885257720947266
82,2.4561386108398438
83,2.4561386108398438
84,1.8038926124572754
86,2.3677196502685547
87,2.677015781402588
89,2.115758180618286
91,1.9196890592575073
93,1.8735426664352417
94,2.0885257720947266
95,1.9604723453521729
96,1.971250057220459
97,2.0885257720947266
98,1.2965707778930664
99,1.971250057220459
100,2.6828925609588623
102,2.309764862060547
103,2.0885257720947266
104,2.0885257720947266
107,2.4886088371276855
108,2.0885257720947266
109,2.5009095668792725
110,2.139535903930664
111,2.139535903930664
112,2.6653831005096436
115,1.9455307722091675
116,2.278193473815918
118,2.655526638031006
119,2.354759693145752
121,2.2093000411987305
124,2.677015781402588
126,2.4561386108398438
128,2.159414768218994
129,2.58158540725708
130,2.4561386108398438
131,2.323695182800293
132,2.323695182800293
133,2.591806411743164
134,2.2056541442871094
135,2.1552493572235107
137,2.4561386108398438
139,2.5682084560394287
140,2.471142292022705
141,2.2591772079467773
142,2.0840461254119873
144,2.546785593032837
145,2.644705057144165
146,1.971250057220459
148,1.971250057220459
151,2.4561386108398438
152,2.2591772079467773
153,2.5646770000457764
154,2.109586238861084
155,2.0885257720947266
156,1.740427017211914
159,2.109586238861084
